ID,指示符,封装,数量,名称,供应商和参考
1,"C8,C16,C3,C10,C21,C20,C14,C5",C_0402_1005Metric,8,100nF,C77020
2,"C4,C6",C_0402_1005Metric,2,18pF,C33149
3,"C11,C22",C_0402_1005Metric,2,100pF,C1546
4,C12,C_0402_1005Metric,1,1uF,C52923
5,C23,C_0402_1005Metric,1,22nF,C1532
6,C24,C_0402_1005Metric,1,2.2uF,C385032
7,"C2,C18,C9,C19,C15",C_1210_3225Metric,5,10uF 50V,C576234
8,"C7,C13",C_1210_3225Metric,2,47uF 16V,C77101
9,"R6,R5",R_0402_1005Metric,2,27R,C321419
10,"R17,R1,R9,R12,R23,R19,R3,R7,R13,R16",R_0402_1005Metric,10,10K,C25744
11,"R18,R14,R20",R_0402_1005Metric,3,1M,C26083
12,R15,R_0402_1005Metric,1,20K,C25765
13,"R24,R25",R_0402_1005Metric,2,1K,C11702
14,R11,R_0402_1005Metric,1,4.7K,C25900
15,R4,R_0402_1005Metric,1,27K,C25771
16,R8,R_0402_1005Metric,1,52.5K,C25792(47K)
17,R2,R_0402_1005Metric,1,5.1K,C25905
18,"R22,R21",R_1206_3216Metric,2,180m,C5127782
19,L1,L_1008_2520Metric,1,4.7uH,C162559
20,D3,LED_0603_1608Metric,1,POWER_LED,C965804
21,C1,CP_Elec_6.3x5.8,1,100uF 25V,C178540
22,D1,D_SOD-123,1,BZT52C12,C173429
23,"J3,J6,J5,J2,J4,",GH_1.25_1x02_Horizontal,1,"X_ENDSTOP,FAN2,FAN1,TEMP_SENSOR,PROBE",C2886765
24,J8,GH_1.25_1x04_Veritical,1,Extruder_motor,C2886782
25,U5,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,1,ADXL345BCCZ-RL7,C9667
26,Y1,Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm,1,12MHz,C7206294
27,U6,QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm,1,TMC2209,C465949
28,U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
29,"Q1,Q5,Q3,Q7",SOT-23,4,WST4041,C148357
30,"Q2,Q4,Q6",SOT-23,3,FH3400C,C2940037
31,U4,SOT-23-5,1,TLV70233_SOT23-5,C26833
32,U2,SOT-23-6,1,RY8310,C370876
33,SW1,SW_SPST_CK_RS282G05A3,1,BOOTSEL,C5117871
34,"J1,J7",TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,1,"Power +24V,Heater",C918120
35,J9,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C2765186
36,U1,USON-8_3.0x2.0mm_P0.5mm,1,W25Q16JVSNIQ,C2843335
